E:\simulator-windows-64\IMG\center_2024_06_13_03_06_17_829.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_17_829.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_17_829.jpg, 0, 0, 0, 7.868833E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_17_933.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_17_933.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_17_933.jpg, 0, 0, 0, 7.87185E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_037.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_037.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_037.jpg, 0, 0, 0, 8.093808E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_142.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_142.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_142.jpg, 0, 0, 0, 7.970458E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_245.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_245.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_245.jpg, 0, 0, 0, 7.911292E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_348.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_348.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_348.jpg, 0, 0, 0, 7.899963E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_447.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_447.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_447.jpg, 0, 0, 0, 7.802941E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_548.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_548.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_548.jpg, 0, 0, 0, 7.844169E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_649.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_649.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_649.jpg, 0, 0, 0, 8.060558E-05
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_753.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_753.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_753.jpg, 0, 0.1176282, 0, 0.04537987
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_857.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_857.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_857.jpg, 0, 0.4826565, 0, 0.5024936
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_18_959.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_18_959.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_18_959.jpg, 0, 0.7882643, 0, 1.237274
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_060.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_060.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_060.jpg, 0, 1, 0, 2.408579
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_161.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_161.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_161.jpg, -0.2507802, 1, 0, 3.573882
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_265.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_265.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_265.jpg, -0.5562171, 1, 0, 4.711998
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_365.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_365.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_365.jpg, -0.2876453, 1, 0, 5.869129
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_466.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_466.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_466.jpg, 0, 1, 0, 7.013398
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_571.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_571.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_571.jpg, 0, 1, 0, 8.147772
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_677.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_677.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_677.jpg, 0, 1, 0, 9.496987
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_780.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_780.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_780.jpg, 0, 1, 0, 10.60927
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_886.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_886.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_886.jpg, -0.0730575, 1, 0, 11.54437
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_19_987.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_19_987.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_19_987.jpg, -0.3780351, 1, 0, 12.81769
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_090.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_090.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_090.jpg, -0.3126783, 1, 0, 13.66846
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_194.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_194.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_194.jpg, -0.01481279, 1, 0, 14.95185
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_300.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_300.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_300.jpg, -0.2728839, 1, 0, 16.19845
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_403.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_403.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_403.jpg, -0.149469, 1, 0, 16.99725
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_508.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_508.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_508.jpg, 0, 1, 0, 18.2319
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_610.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_610.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_610.jpg, -0.3085155, 1, 0, 19.07162
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_710.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_710.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_710.jpg, -0.3208336, 1, 0, 20.13734
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_811.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_811.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_811.jpg, -0.3314368, 1, 0, 21.05082
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_20_913.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_20_913.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_20_913.jpg, -0.5038789, 1, 0, 22.00534
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_21_013.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_21_013.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_21_013.jpg, -0.2024365, 1, 0, 22.9669
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_21_115.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_21_115.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_21_115.jpg, -0.2858647, 1, 0, 24.14316
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_21_220.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_21_220.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_21_220.jpg, 0, 1, 0, 25.11388
E:\simulator-windows-64\IMG\center_2024_06_13_03_06_21_320.jpg, E:\simulator-windows-64\IMG\left_2024_06_13_03_06_21_320.jpg, E:\simulator-windows-64\IMG\right_2024_06_13_03_06_21_320.jpg, 0, 1, 0, 26.05948
